Name,Points,Status,Claim Points,Approve QA,Complete Doublecheck,Deny QA,Shift,Created by,Created time,People,QA,Person,Last edited time,Last edited by,Role Badge,Date,Google Tasks ID,Description,Completed By
Interior Cleaning,5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Vacuum carpets,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Sweep bathroom),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Sweep cafe,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Sweep stand,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Flip sign “closed” and turn off open sign,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Equipment,5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
"Lights out (cafe, stand, string lights, coffee sign & leave on track light)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Turn off heat/swamp cooler/ac,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Speaker off/plugged in to charge,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Mop every area (use utility sink in back to fill but dump mop water outside out back UTILITY SINK DOES NOT DRAIN SO DO NOT DUMP IN SINK),10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
"Check fridges (walk in closed, display case plugged in)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Close garage doors & secure shut with straps,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Final Checks,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Empty full trash can & check bus tub,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Trash out and re-line bags (remember bathroom!),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
RIVERSIDE:,10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Cash Box  (on top of printer cabinet),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
"Empty urn, fill with water & cleaner, take to Riverside sink",3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
"Leave warm and cold water dripping at 2 sinks at coffee prep area, and at bathroom sink at night (to keep from freezing)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Dirty Rags,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
"ALL dishes; pans, empty pie boxes, etc. back to Riverside and wash them all (DO NOT LEAVE FOR OTHER STAFF)",5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Empty ice drain (and make sure hose is in container),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Charge Tablet overnight,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Empty bus tub,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Take cash tips,,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Chairs up,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Count cash box & put anything over $150 in  envelope under Richards office door,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Shift hand-off sheet filled out,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Leave shift report for Miranda,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Sunday: put milk coolers out (Put blankets with them in winter so they can cover and not freeze)- Evening,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Check schedule for next two weeks and confirm shifts.,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Tuesday: Take apart espresso machine 1x/week- Evening,,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Made how many smoothies,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:17 PM",,,,"March 19, 2025 6:17 PM",Cameron Ely-Murdock,,,,,
Look for boxes that have been delivered - open them - put stock away - discard packaging,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,bk5kTmlJT054bXFSRF9mbA,,
Restocking,14,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,UWtNV1pJZ1duR2wxRXZjNg,,
Restock Teas,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,aEFBRWZLUVo0bWU1WWRqQw,,
"Restock paper goods (cups, lids, straws, forks, napkins, sleeves)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,cVpRN1dmdVpFZ21IQmE3Ug,,
"Restock customer station (sugars, lids, straws, stir sticks, forks)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,YzVRVGtIT0s5T2ZvRG1PYg,,
Restock Milk Fridge,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,VVNMOWZrbXZUNDBDQ3hwMQ,,
Check pies for restocking & defrost if needed,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,TnJkVEhfSlhMN3NVRFFHQQ,,
Restock pies,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,S0pzZ21ucFh4NjVuOXFoeA,,
"Restock paper goods behind counter (cups, lids, pie bags, napkins)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,Z1RoSkxLQnZ1TzNBd2E0bw,,
"Restock sugars, honey, cinnamon, nutmeg",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,SUVSMC1CWU1uZFEwZllIbQ,,
"Refill syrups, and wipe bottles",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,Nk0zVVI3YkI5YjVjX1VQSg,,
Bake Banana bread and muffins and any other baked goods if needed,10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:28 PM",Pipedream,,,R1o1VlVjc2dvaTA0cUdqMg,,
Make new syrups,510,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,VTh5aU9hZlJKX0NuZjVpTQ,,
Shift hand-off sheet filled out,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,Q0hrOHcwYnZOanlVQWNaUQ,,
Count cash box & put anything over $150 in envelope under Richards office door,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,a1c4MWpNMTFJaWhlR2NHRQ,,
Give shift report to next staff & communicate new/what needs to be done,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,S0I2ZG42bFNzZVBqVW5sZw,,
Windex front door,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,X3daek84S3RYZXVUUUN4Qg,,
Straighten bookshelves in comm room,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,NFMyVGo0WUdjNWs3RzFfRg,,
Clean honey combs & piano,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,RmEzVzZSZzFCSjI0ZU5Cdw,,
Sweep deck & wipe outside tables,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,Y2ZYVmJyY1h6VFhTQ2UyQw,,
Stamp cups,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,M3VIYkUyY215ZERyUDZxRQ,,
"Wipe (4) clear acrylic shelves (teas, glasswear)",3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,Zmt3Y3laQ3ozN0kta1NDSg,,
Date Milks & Chais,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,QU91bFZ4ZG15UU5pUWxrZA,,
"Clean Syrup area; bottles, mats, white tiles (including down low!)",3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,TjB0aGFSSFJVaFRGT0dTZw,,
Clean Display Case (pies),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,cERZd0QzVnc4V2JZLWxYbQ,,
Check schedule for next two weeks and confirm shifts,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,NE5heFVpaHd5UnowZnhiVw,,
Water all plants INSIDE if time on midday shift,10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,VTZLU2d5czRSZXFzbm1xSg,,
"Water all plants INSIDE every SUNDAY, MONDAY, TUESDAY, WEDNESDAY, SATURDAY Evenings if not done in midday",10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,TEZfZllFS2lPMG1hSE5vaQ,,
Barista Station,14,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,TUFkV1VxVWFYNHpDWGh0eA,,
Clean espresso machine,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,VEM1cUo0MW9wOXZFNzR2cA,,
Soak wands w 30mL Blue Cleaner in cups overnight to soak,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,Sk1JNlVTX2FYS0FZalhyNQ,,
Wipe Counters,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,el9ScTQ0V2d2X3RlZElOSg,,
Wipe down espresso machine,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,SzRURWNRWU5XWEhfM3RlZw,,
"Wipe outside fridge (doors, handles, under espresso machine, sides)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,T1lnNnIwNW42MnNEaEdmbw,,
Wipe inside fridge,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,NklQRWRBb2hIVENsQWlrYw,,
"Wipe tables, counters & customer station",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,cnhoNmptMXJNNHA1NTdsRg,,
Scrub sinks and backsplash shiny with Cafiza and sponge,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,LXFEWXpuT3RWT0kxY3dObA,,
"Wipe/wash bakery domes, display planks and pie plates",2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,c09kYmU3RGNBQVAxTlhheQ,,
Clean Grinders,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,UFI2b1hreTB1aGVEWG04dg,,
"Clean drips (fridge, grinder counter, bottom espresso machine under wand)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,NmRQbHZvWHNGWF92VjducQ,,
Outside:,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,cXlDcExrZWx6bFJ4aUt0LQ,,
Oven off,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,OXdqeFZMcGlSdWJWdDZmSQ,,
Chair/stools inside,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,cmhmWTNDcGN6NzFJSlhrUg,,
Awnings Down & secured,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,OS1WbFNwNGhjUDNNLWJhYQ,,
Interior Cleaning,5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,VTRnbWdJQ0lKa2RwNUFEVA,,
Vacuum carpets,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,Znp0LVgzQ1FtcVZrdWtJLQ,,
Sweep cafe,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,bnZlazhrcU5yY2VvYnBBZw,,
Sweep stand,2,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,QkRNZ0Z2MS1kWTJ5ZDRVdg,,
Equipment,5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,TnpoSHY0eHc5SzV0MUU0cw,,
Sweep bathroom,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,RzNtaDdHbExmU0JXeHM1ag,,
Flip sign “closed” and turn off open sign,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,dDZTRnpQdE44M0thendXRA,,
Speaker off/plugged in to charge,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,V3YyeHItQUNsSk5CSUdWUA,,
"Lights out (cafe, stand, string lights, coffee sign & leave on track light)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,NzJsT2ViZGlzaThwcG9OTQ,,
Turn off heat/swamp cooler/ac,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,S1VNR1ZEQzY1dnpYdnFhZQ,,
"Check fridges (walk in closed, display case plugged in)",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,SGd2Vk5HSHIzNlp3MFYyTA,,
Mop every area (use utility sink in back to fill but dump mop water outside out back UTILITY SINK DOES NOT DRAIN SO DO NOT DUMP IN SINK),10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,cnFmQkdBU0pUYm4wOFdUTA,,
Final Checks,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,U2dzcWdZQkM1eUxGSTkzTQ,,
Close garage doors & secure shut with straps,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,MWNNVllxd1RqeEdLU2tlUQ,,
Trash out and re-line bags (remember bathroom!),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:27 PM",Pipedream,,,eXJVRTc0UnFOd2ZHMEwzcg,,
Empty full trash can & check bus tub,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,UFdVRnBrZng5T05OektqbA,,
RIVERSIDE:,10,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,a2VtSzA3U2FkVldLV2xqbw,,
"Empty urn, fill with water & cleaner, take to Riverside sink",3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,MVR2SlpsRDFTMUVyQmhGdQ,,
Cash Box (on top of printer cabinet),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,VENoYmRhMEhsUlNmZjJGRQ,,
Dirty Rags,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,a2Ywa2M0bnBXQ2UtdW1ydg,,
"ALL dishes; pans, empty pie boxes, etc. back to Riverside and wash them all",5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,eXBULUpSQlA2cjJUb0JYYQ,,
"Leave warm and cold water dripping at 2 sinks at coffee prep area, and at bathroom sink at night",1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,VDNGX040VHFoOFM5U1dHXw,,
Charge Tablet overnight,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,TVp5Z3M1WkQtLVRkd05iZw,,
Empty ice drain (and make sure hose is in container),1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,ZVUtWGlONG5DWmxtUjNOcg,,
Empty bus tub,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,b0h1eTFBMEdqLXlxbDBJZw,,
Take cash tips,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,YXRuWjVIRkEzOFItNWtENg,,
Chairs up,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,bGtoOXY1eENfdDBWc3NlSw,,
Shift hand-off sheet filled out,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,Y1NwX0R3YVBTMnU2SHJXeQ,,
Count cash box & put anything over $150 in envelope under Richards office door,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,eDJfdk1FZXEyczF3QktKTg,,
Leave shift report for Miranda,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,aGJTTFlDMC1PS1hFTE9OMQ,,
Check schedule for next two weeks and confirm shifts,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,M3V1aXc3R0Y1REV3UWxNXw,,
Sunday: put milk coolers out (Put blankets with them in winter so they can cover and not freeze) - Evening,3,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,NGZBSjV1cXRwYlg5TVFEag,,
Tuesday: Take apart espresso machine 1x/week - Evening,5,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,bnVfYlFieUd2WHMtdl9fOQ,,
Made how many smoothies,1,Needed,,,,,,Cameron Ely-Murdock,"March 19, 2025 6:25 PM",,,,"March 30, 2025 7:26 PM",Pipedream,,,U0hGRUZmNklrX184VmtVSg,,
test 2,,Needed,,,,,,Riverside Admin,"March 30, 2025 8:11 PM",,,,"March 31, 2025 6:02 PM",Pipedream,,"March 31, 2025 → April 4, 2025",TXhpclFvb05BQ2dmQjZENA,,
Post about smoothies on instagram,10,Done,,,,,,Cameron Ely-Murdock,"April 17, 2025 3:51 PM",,,,"April 17, 2025 6:02 PM",Pipedream,,,cTR3dGNkdjhRUnctcGREYw,,
Create content for smoothie post,30,Done,,,,,,Cameron Ely-Murdock,"April 17, 2025 3:56 PM",,,,"April 17, 2025 6:02 PM",Pipedream,,,dngwY2Y2aTBNTnVrc2lKLQ,,
post pics on instagram,20,Done,,,,,,Cameron Ely-Murdock,"April 17, 2025 4:08 PM",,,,"May 5, 2025 11:25 AM",Cameron Ely-Murdock,,,OVlUdzVPbXRzRGdBTlFLVw,,
,25,Awaiting Review,,,,,,Cameron Ely-Murdock,"May 5, 2025 2:25 PM",,,Cameron Ely-Murdock,"May 12, 2025 1:35 PM",Cameron Ely-Murdock,,,dWZMcnAzdkFiRHgxRTlVUA,,Cameron Ely-Murdock
,,Needed,,,,,,Cameron Ely-Murdock,"May 5, 2025 2:27 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 5, 2025 6:02 PM",Pipedream,,,NEhMRjZjRFBER1YycTJ0cA,,
sleep,,Needed,,,,,"DOOR (https://www.notion.so/DOOR-1f21503617b4808f9739f17bab1e27dd?pvs=21), Shift (https://www.notion.so/Shift-1f21503617b48043b8c2f4e69dd5a3bb?pvs=21)",Cameron Ely-Murdock,"May 5, 2025 6:18 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 12, 2025 6:52 PM",Cameron Ely-Murdock,,,Ry1hQVppcW02Q3dyX1VmOQ,,
play,,Needed,,,,,"DOOR (https://www.notion.so/DOOR-1f21503617b4808f9739f17bab1e27dd?pvs=21), Shift (https://www.notion.so/Shift-1f21503617b48043b8c2f4e69dd5a3bb?pvs=21)",Cameron Ely-Murdock,"May 5, 2025 6:43 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 12, 2025 6:52 PM",Cameron Ely-Murdock,,,TVNtdlEyUWtPaFI1dUtxSA,,
eat,,Needed,,,,,"DOOR (https://www.notion.so/DOOR-1f21503617b4808f9739f17bab1e27dd?pvs=21), Shift (https://www.notion.so/Shift-1f21503617b48043b8c2f4e69dd5a3bb?pvs=21)",Cameron Ely-Murdock,"May 5, 2025 6:43 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 12, 2025 6:52 PM",Cameron Ely-Murdock,,,emJGd2daNV81UmVEcTFNaA,,
fuck,,Done,,,,,"DOOR (https://www.notion.so/DOOR-1f21503617b4808f9739f17bab1e27dd?pvs=21), Shift (https://www.notion.so/Shift-1f21503617b48043b8c2f4e69dd5a3bb?pvs=21)",Cameron Ely-Murdock,"May 5, 2025 6:43 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 12, 2025 6:52 PM",Cameron Ely-Murdock,,,RVNFMUNXYldxT1BOR1Jpcg,,Cameron Ely-Murdock
terst,22,Awaiting Review,,,,,,Cameron Ely-Murdock,"May 5, 2025 6:44 PM",,,Cameron Ely-Murdock,"May 12, 2025 1:35 PM",Cameron Ely-Murdock,,,YWVoV2NMd0hkQ1dNT1Y2cw,,Cameron Ely-Murdock
asdf,33,Awaiting Review,,,,,,Cameron Ely-Murdock,"May 5, 2025 6:45 PM",,,Cameron Ely-Murdock,"May 12, 2025 1:35 PM",Cameron Ely-Murdock,,,b3lzZGk2U05rMUd6dzRsXw,,Cameron Ely-Murdock
,,Needed,,,,,,Cameron Ely-Murdock,"May 5, 2025 6:51 PM",@Cameron Ely-Murdock  (https://www.notion.so/1aa1503617b480f68941c9feb4424819?pvs=21),,Cameron Ely-Murdock,"May 6, 2025 6:02 PM",Pipedream,,,VUNJUkJnUEFhQVI4RERjcw,,
